question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"john linscom boss, jr. died where?
",Newport,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,San Francisco,Los Angeles,San Diego,San Francisco,Los Angeles,San Diego,San Francisco,Los Angeles,San Diego,San Francisco,Los Angeles,San Diego,San Francisco,Los Angeles,Chicago,Los Angeles,Chicago,Chicago,Philadelphia,Chicago,Philadelphia,Los Angeles County,Los Angeles County,Los Angeles County,Los Angeles County,False
"What sort of metal does petr hošek play
",black metal,thrash metal,thrash metal,heavy metal,hardcore punk,heavy metal,heavy metal,hardcore punk,hard rock,hardcore metal,heavy metal,hardcore punk,hard rock,heavy metal,hardcore metal,progressive metal,hard rock,heavy metal,hardcore metal,hardcore punk,progressive metal,hard rock,heavy metal,hardcore metal,progressive metal,heavy metal,hard rock,hardcore metal,progressive metal,heavy metal,hard rock,hardcore metal,progressive metal,heavy metal,hard rock,progressive metal,heavy metal,hard rock,hardcore metal,hardcore metal,progressive metal,heavy metal,hard rock,progressive metal,heavy metal,death metal,heavy metal,thrashcore,heavy metal fusion,thrashcore,heavy metal fusion,False
"What military government got its name from tokugawa ieyasu
",Tokugawa Shogunate,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Tokugawa,Japan,Tokugawa,Japan,Japan,Tokugawa,Japan,Tokugawa,Japan,Japanese military government,Japanese Imperial Army,Japan,Tokugawa,Japanese military government,Japan,Japanese Imperial Army,Japan,Tokugawa,Japanese military government,Japanese Imperial Army,Japan,Tokugawa,Japan,Japanese Imperial Army,Japanese military government,Japan,Tokugawa,Japanese Imperial Government,Japanese Imperial Army,Japan,Tokugawa,Japan,Japanese Imperial Army,Japan,Japanese Army,Tokugawa,Japanese Imperial Army,Japan,Japanese Imperial Army,Japanese Imperial Government,Japanese Army,Japan Military Government,False
"what religion does bianca jagger practice
",Catholicism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholicism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholicism,atheism,Catholic Church,Catholicism,atheism,Catholic Church,Catholicism,Catholic Church,Islam,Catholicism,Islam,Catholicism,Islam,Roman Catholic Church,Catholic Church,Islam,Catholicism,Islam,Catholicism,Islam,Catholic Church,Catholicism,Catholic Church,Catholicism,Catholic Church,Catholicism,Catholicism,Catholic Church -,Catholic Church -,False
"who is john landis's song's name 
",Max Landis,John Landis,John Landis,John Landis,John Landis,John Landis,John Landis,John Landis,John Landis,John Landis,John Lennon,John Landis,John Landis,John Landis,John Landis,John Landis,Johnny Cash,John Landis,Johnny Cash,John Landis,Johnny Cash,john landis,Johnny Cash,John Landis,John Landis Jr.,Johnny Cash,John Landis,John Williams,John Landis,John Landis Jr.,Johnny Cash,John Williams,John Landis,John Landis Jr.,Johnny Cash,John Landis,John Williams,Johnny Cash's Song,John Landis,John Landis Jr.,John Williams,Johnny Cash,Johnny Cash's Song,John Landis,Johnny Cash,Johnny Cash,John Landis,John Williams,Johnny Cash,Johnny Cash's Song,Johnny Cash,False
"What genre of game is maximo vs. army of zin?
",action-adventure game,single-player video game,first-person shooter,single-player video game,first-person shooter,single-player video game,first-person shooter,strategy video game,single-player video game,first-person shooter,strategy video game,single-player video game,strategy video game,strategy video game,strategy video game,action game,strategy video game,action game,fighting game,strategy video game,action game,fighting game,strategy video game,action game,strategy video game,action game,fighting game,action game,fighting game,action game,fighting game,action game,fighting game,action game,action game,action game,first-person shooting,single-player videogame,first-person shooting,strategy videogame,first-person shooting,strategy videogame,first-person shooting,strategy videogame,strategy videogame,first-person shooting,first-person shooting,strategy videogame,first-person shooting,strategy videogame,strategy video game.,False
"what type of country is b. j. thomas from 
",country music,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Republic of Ireland,United States of America,United Kingdom,Republic of Ireland,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,South Korea,United States of America,South Korea,United States Of America,United Kingdom,South Korea,United States of America,United Kingdom,United States Of America,United Kingdom,False
"Who is the developer of the videogame star trek: conquest?
",4J Studios,Ubisoft,Ubisoft,Star Trek: Enterprise,Sony Interactive Entertainment,Ubisoft,Star Trek: Enterprise,Sony Interactive Entertainment,Ubisoft,Star Trek: Enterprise,Sony Interactive Entertainment,Star Trek: Enterprise,Sony Interactive Entertainment,Star Trek: Enterprise,Sega,Electronic Arts,Sony Interactive Entertainment,Konami,Capcom,Namco,Sega,Electronic Arts,Konami,Capcom,Star Trek: Enterprise,Namco,Sega,Electronic Arts,Konami,Namco,Star Trek: Enterprise,Namco,Namco,Star Trek: Enterprise,Namco,Namco,Star Trek: Enterprise,Namco,Vivendi,Namco,Star Trek Online,Star Trek Online,Star Trek Online,Sega Corporation,Sega Corporation,Sega Corporation,Sega Entertainment,Konami Entertainment,Sony Interactive Entertainment Corporation,Electronic Arts Corporation,Konami Entertainment,False
"What female producer is responsible for the decline of western civilization?
",Penelope Spheeris,Margaret Atwood,Margaret Atwood,Margaret Atwood,Margaret Atwood,Margaret Atwood,Sally Potter,Margaret Atwood,Jane Fonda,Sally Potter,Margaret Atwood,Sally Field,Jane Fonda,Mary Pickford,Margaret Mead,Margaret Atwood,Sally Field,Mary Pickford,Jane Fonda,Margaret Atwood,Jane Austen,Margaret Thatcher,Mary Pickford,Jane Fonda,Alice Walker,Jane Austen,Alice Walker,Alice Walker,George Lucas,Alice Walker,George Lucas,George Lucas,Elizabeth Taylor,Margaret Meade,George Lucas,Elizabeth Taylor,John Ford,Judith Lean,John Ford,Margaret Attenborough,Judith Lean,Judith Leigh,Margaret Attenborough,John Ford,Judith Leigh,John Ford,Margaret Attenborough,John Ford,Judith Butler,John Ford,Judith Butler,False
"what film did dennis dugan direct
",The Benchwarmers,The Man Who Knew Too Much,The Man Who Knew Too Much,The Night of the Living Dead,The Man Who Couldn't,The Dark Side of the Moon,The Man Who Knew Too Much,The Man in the High Castle,The Secret Life of Walter Mitty,The Intimidator,The Man Who Couldn't,The Dark Side of the Moon,The Intimidators,The Night of the Living Dead,The Dark Side of the Sun,Friend or Foe,Into the Woods,Friend or Foe?,The Man Who Couldn't,The Man Who Couldn’t,Into the Woods,The Secret Life of Harry Potter,I'll Be There,The House of Usher,The Man Who Knew Everything,I'm a Man,The Man Who Knew,The Assassination of John Wayne,The House of the Rising Sun,The Last Man on Earth,A Little Night Music,The House of Usher,The Secret of the Sword,A Little Night Music,The Man Who Knew,The House That Never Sleeps,In Search of Mr. Smith,The Last Man on Earth,A Little Night Music,The House of the Rising Sun,The Night of the Hunter,In Search of Mr. Smith,Swordsman,Swords of War,The Man Who Could,In Search of Mr. Smith,Swordsman,In Search of Mr. Jones,The Confessions,The Dark Side,In the Beginning,False
"Who is an artist that was signed to black mark productions
",Cemetary,Snoop Dogg,Yoko Ono,Snoop Dogg,Yoko Ono,Yoko Ono,Yoko Ono,Yoko Ono,David Bowie,John Cena,John Mayer,David Guetta,John Mayer,Afrobeats,John Cage,Axel,J. Cole,J.P. Morgan,John Cage,Axel,J. Cole,Axl Rose,John Cage,Axel,J.P.,Axl Rose,Xavier,Axel,Axl Rose,Afrobeat,Afrojack,J. Cole,John Cage Jr.,Axel,Yung Hoi,Axe,Yung Ho,Axl Rose,Xavier,J-Pop,J. Cole,Yvonne,Axe,Axl Rose,Afrobeatz,Axe,Xavier,Axe,Axe,Afrobeats Records,J-Pops,False
"who is the founder of the hess corporation?
",Leon Hess,John Hess,John H. Hess,John Hess,Henry Hess,William H. Hess,John Hess,Henry Hess,John H. Hess,John Hess,"John Hess, Jr.",William H. Hess,Robert Hess,John Hess,George H. Hess,"John Hess, Jr.",John Hess,Henry Hess,Charles H. Hess,George H. Hess,John H. Hess,"John Hess, Jr.",William H. Hess,John Hess,George Hess,Charles Hess,"John Hess, Jr.",John Hess,Richard H. Hess,George S. Hess,Harry S. Hess,Robert Hess,"John Hess, Jr.",John Hess,George H. Hess,William Henry Hess,Harry S Truman,John H. Heß,John Hess,William H. Heß,"John Hess, Jr.",William H. Hess,Joseph S. Hess,John Hess,Richard Hess,"John Hess, Jr.","Carl Heß, Jr.",William Henry Hess,William H. Heß,Richard H. Hess,John H. Heß,False
"What team plays in philips stadion?
",PSV Eindhoven,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,Philadelphia Eagles,United States of America,Philadelphia Eagles,United States of America,Philadelphia Eagles,United States of America,Philadelphia Eagles,United States of America,Philadelphia Eagles,United States of America,Philadelphia Eagles,Manchester United FC,United States of America,Philadelphia Eagles,Manchester United FC,United States of America,Philadelphia Eagles,Manchester United FC,Manchester United,United States of America,Philadelphia Eagles,Manchester United,Manchester United FC,Manchester United Football Club,United States of America,Philadelphia Union Football Club,Manchester United,Philadelphia Eagles,United States of America,Philadelphia Eagles FC,Manchester United,Philadelphia Union Football Club,Philadelphia Eagles,United States of America,Philadelphia Eagles FC,FC Philadelphia,Philadelphia Eagles,Philadelphia Union Football Club,Philadelphia Eagles FC,United States of America,Philadelphia Union,Philadelphia Eagles FC,Philadelphia Union,Philadelphia Eagles FC,False
"Which country was louis jurine from
",Switzerland,France,France,France,France,France,France,France,France,France,Canada,France,Canada,France,Canada,France,United Kingdom,Canada,France,United Kingdom,Canada,France,Canada,United Kingdom,France,Canada,France,United Kingdom,Canada,France,United Kingdom,Canada,France,Canada,United Kingdom,France,Canada,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,France.,False
"Where did bartholomew ulufaalu die?
",Honiara,Abidjan,Skopje,Abidjan,Abidjan,Kumasi,Abidjan,Kumasi,Baku,Abidjan,Karachi,Kumasi,Baku,Karachi,Abidjan,Kumasi,Baku,Abidjan,Kumasi,Lagos,Lagos,Kumasi,Lagos,Lagos,Kumasi,Lagos,Osaka,Kumasi,Lagos,Arusha,Lagos,Kumasi,Istanbul,Lagos,Oman,Istanbul,Kumasi,Lagos,Arusha,Istanbul,Lagos,Kumasi,Istanbul,Lagos,Nairobi,Istanbul,Lagos,Nairobi,Istanbul,Lagos,Nairobi,False
"What music genre is unstoppable?
",disco,alternative rock,alternative rock,punk rock,alternative rock,punk rock,alternative rock,alternative rock,pop punk,punk rock,indie rock,rock music,alternative rock,pop punk,rock music,punk rock,indie rock,alternative rock,pop punk,rock music,alternative rock,punk rock,pop punk,rock music,indie rock,alternative rock,rock music,pop punk,punk rock,alternative rock,rock music,pop punk,alternative rock,rock music,progressive metal,alternative rock,rock music,progressive metal,alternative rock,progressive metal,hard rock,alternative rock,alternative rock,alternative rock,alternative rock,hardcore rock,indie metal,punk metal,punk metal,indie metal,punk metal,False
"Which artist wrote on your sleeve
",Jesse Malin,John Lennon,Yoko Ono,Yoko Ono,Yoko Ono,David Bowie,Yoko Ono,Def Leppard,The Black Crowes,Yoko Ono,Def Leppard,The Lumineers,Yoko Ono,The Black Keys,The Lumineers,Def Jam,Sly Stone,J-Lo,John Mayer,Sly Stone,Def Jam,David Guetta,John Mayer,Sly Stone,Axl Rose,Def Jam,Def Jam Records,John Mayer,J. Cole,Axl Rose,Def Jam,Def Jam Records,J. Cole,Axl Rose,Afrobeats,Def Jam,Def Jam Records,Axl Rose,Axwell,Afrobeats,Def Jam,Def Jam Records,Axwell,Axl Rose,Afrobeat,Axl,Axel,Def Jam Records,J. Lo,Afrobeat,Axl,False
"what gender is luisa valenzuela?
",female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,False
"to what film did scott bradley contribute music
",Hatch Up Your Troubles,Star Trek: Deep Space Nine,The Man Who Knew Too Much,Star Wars: Episode IX,The Man Who Knew Too Much,The Dark Side of the Moon,The Man in the High Castle,The Dark Side of the Moon,The Secret Life of Walter Mitty,The Man Who Couldn't,The Greatest Showman,The Dark Side of the Sun,The Man Who Knew Too Much,Into the Woods,The Secret Life of Walter Mitty,The Dark Side of the Moon,The Man Who Couldn't,The Man in the High Castle,The Night of the Living Dead,Into the Woods,The Dark Side of the Sun,The Greatest Showman,The House That Never Sleeps,The Secret Life of Bees,The Man Who Knew Everything,Into the Woods,Into the Wilderness,Daddy's Homecoming,The House of Usher,The Dark Side of the Sun,Into the Wilderness,The Secret Life of Bees,The Secret of the Sword,Into the Woods,The House That Never Sleeps,A Little Night Music,The Dark Knight Rises,Into the Wild Wild West,Daddy's Home,The Man Who Knew,A Little Night Music,In Search of Mr. Smith,A Little Night Music,In Search of Mr. Smith,Into the Wild,The Dark Side,In Search of Mr. Smith,Into the Wild,In Search of Mr. Jones,Swordsman,The Man Who Could,False
